Date,Opponent,Outcome,Location,Magnitude,V-Crime,P-Crime,Total P-Crime (Related to Football),Total V-Crime (Related to Football),Total Non-Football Related P-Crime,Total Non-Football Related V-Crime,Football Days,Non-Football Days,P-Crime/Football Day,V-Crime/Football Day,P-Crime/Non-Football Day,V-Crime/Non-Football Day,.
9/11/11,Pittsburgh Steelers,1,1,1,121,188,48903,27125,318509,173894,678,5046,72.13,40.01,63.12,34.46,
9/18/11,Tennessee Titans,0,0,0,133,220,,,,,,,,,,,
9/25/11,St. Louis Rams,1,0,0,141,224,,,,,,,,,,,
10/2/11,New York Jets,1,1,1,169,167,,,,,,,,,,,
10/16/11,Houston Texans,1,1,0,163,178,,,,,,,,,,,
10/24/11,Jacksonville Jaguars,0,0,0,133,196,,,,,,,,,,,
10/30/11,Arizona Cardinals,1,1,0,154,190,,,,,,,,,,,
11/6/11,Pittsburgh Steelers,1,0,1,145,195,,This took 23 hours of straight actual focused work time.,,,,,,,,,
11/13/11,Seattle Seahawks,0,0,0,114,184,,Sorted through over 650000 individual acts of crime and,,,,,,,,,
11/20/11,Cincinnati Bengals,1,1,1,144,155,, corresponded their dates and types of crime with the ,,,,,,,,,
11/24/11,San Francisco 49ers,1,1,1,130,162,,"dates, outcomes, location, and magnitude of football ",,,,,,,,,
12/4/11,Cleveland Browns,1,0,0,130,147,,games (which all took extensive research to ensure accuracy),,,,,,,,,
12/11/11,Indianapolis Colts,1,1,0,112,169,,,,,,,,,,,
12/18/11,San Diego Chargers,0,0,1,84,220,,,,,,,,,,,
12/24/11,Cleveland Browns,1,1,0,74,115,,,,,,,,,,,
1/1/12,Cincinnati Bengals,1,0,1,88,131,,,,,,,,,,,
1/15/12,Houston Texans,1,1,2,109,173,,,,,,,,,,,
1/22/12,New England Patriots,0,0,2,104,142,,,,,,,,,,,
9/10/12,Cincinnati Bengals,1,1,0,139,155,,,,,,,,,,,
9/16/12,Philadelphia Eagles,0,0,0,182,166,,,,,,,,,,,
9/23/12,New England Patriots,1,1,1,157,203,,,,,,,,,,,
9/27/12,Cleveland Browns,1,1,0,162,201,,,,,,,,,,,
10/7/12,Kansas City Chiefs,1,0,0,178,176,,,,,,,,,,,
10/14/12,Dallas Cowboys,1,1,0,141,185,,,,,,,,,,,
10/21/12,Houston Texans,0,0,0,150,196,,,,,,,,,,,
11/4/12,Cleveland Browns,1,0,0,101,175,,,,,,,,,,,
11/11/12,Oakland Raiders,1,1,0,138,166,,,,,,,,,,,
11/18/12,Pittsburgh Steelers,1,0,1,142,201,,,,,,,,,,,
11/25/12,San Diego Chargers,1,0,0,125,176,,,,,,,,,,,
12/2/12,Pittsburgh Steelers,0,1,1,162,202,,,,,,,,,,,
12/9/12,Washington Redskins,0,0,0,147,193,,,,,,,,,,,
12/16/12,Denver Broncos,0,1,0,131,177,,,,,,,,,,,
12/23/12,New York Giants,1,1,0,95,146,,,,,,,,,,,
12/30/12,Cincinnati Bengals,0,0,1,113,219,,,,,,,,,,,
1/6/13,Indianapolis Colts,1,1,2,116,187,,,,,,,,,,,
1/12/13,Denver Broncos,1,0,2,157,200,,,,,,,,,,,
1/20/13,New England Patriots,1,0,2,128,153,,,,,,,,,,,
2/3/13,San Francisco 49ers,1,2,2,120,201,,,,,,,,,,,
9/5/13,Denver Broncos,0,0,1,150,225,,,,,,,,,,,
9/15/13,Cleveland Browns,1,1,0,151,206,,,,,,,,,,,
9/22/13,Houston Texans,1,1,0,164,236,,,,,,,,,,,
9/29/13,Buffalo Bills,0,0,0,187,189,,,,,,,,,,,
10/6/13,Miami Dolphins,1,0,0,137,204,,,,,,,,,,,
10/13/13,Green Bay Packers,0,1,0,171,255,,,,,,,,,,,
10/20/13,Pittsburgh Steelers,0,0,0,192,250,,,,,,,,,,,
11/3/13,Cleveland Browns,0,0,0,163,215,,,,,,,,,,,
11/10/13,Cincinnati Bengals,1,1,0,155,214,,,,,,,,,,,
11/17/13,Chicago Bears,0,0,0,125,219,,,,,,,,,,,
11/24/13,New York Jets,1,1,0,139,200,,,,,,,,,,,
11/28/13,Pittsburgh Steelers,1,1,0,161,187,,,,,,,,,,,
12/8/13,Minnesota Vikings,1,1,0,118,165,,,,,,,,,,,
12/16/13,Detroit Lions,1,0,1,148,205,,,,,,,,,,,
12/22/13,New England Patriots,0,1,1,148,202,,,,,,,,,,,
12/29/13,Cincinnati Bengals,0,0,1,148,199,,,,,,,,,,,
9/7/14,Cincinnati Bengals,0,1,1,133,186,,,,,,,,,,,
9/11/14,Pittsburgh Steelers,1,1,0,150,185,,,,,,,,,,,
9/21/14,Cleveland Browns,1,0,0,183,194,,,,,,,,,,,
9/28/14,Carolina Panthers,1,1,0,174,192,,,,,,,,,,,
10/5/14,Indianapolis Colts,0,0,0,154,166,,,,,,,,,,,
10/12/14,Tampa Bay Buccaneers,1,0,0,189,169,,,,,,,,,,,
10/19/14,Atlanta Falcons,1,1,0,173,198,,,,,,,,,,,
10/26/14,Cincinnati Bengals,0,0,1,178,203,,,,,,,,,,,
11/2/14,Pittsburgh Steelers,0,0,1,136,177,,,,,,,,,,,
11/9/14,Tennessee Titans,1,1,0,144,206,,,,,,,,,,,
11/24/14,New Orleans Saints,1,0,0,147,157,,,,,,,,,,,
11/30/14,San Diego Chargers,0,1,0,159,186,,,,,,,,,,,
12/7/14,Miami Dolphins,1,0,0,153,162,,,,,,,,,,,
12/14/14,Jacksonville Jaguars,1,1,0,145,195,,,,,,,,,,,
