year,month,day,cityid,freq,spend_all,spend_aap,spend_acf,spend_aer,spend_apg,spend_durables,spend_nondurables,spend_grf,spend_gen,spend_hic,spend_hcs,spend_inperson,spend_inpersonmisc,spend_remoteservices,spend_sgh,spend_tws,spend_retail_w_grocery,spend_retail_no_grocery,provisional,date,Outcome,Location,Magnitude,GameDay,PostGame
2018,12,31,23,d,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,12/31/18,,,,0,1
2020,1,1,23,d,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1/1/20,,,,0,1
2020,1,2,23,d,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1/2/20,,,,0,0
2020,1,3,23,d,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1/3/20,,,,0,0
2020,1,4,23,d,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1/4/20,,,,0,0
2020,1,5,23,d,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1/5/20,,,,0,0
2020,1,6,23,d,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1/6/20,,,,0,0
2020,1,7,23,d,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1/7/20,,,,0,0
2020,1,8,23,d,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1/8/20,,,,0,0
2020,1,9,23,d,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1/9/20,,,,0,0
2020,1,10,23,d,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1/10/20,,,,0,0
2020,1,11,23,d,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1/11/20,,,,0,0
2020,1,12,23,d,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1/12/20,,,,0,0
2020,1,13,23,d,0.0141,-0.0115,-0.0389,-0.0485,0.0218,-0.00251,0.019,0.0566,0.0456,0.0147,0.0832,-0.00892,-0.063,-0.0117,0.0428,0.0792,0.00858,0.00337,0,1/13/20,,,,0,0
2020,1,14,23,d,-0.0247,0.0826,-0.037,0.0284,0.0661,0.00114,0.0595,0.0552,0.0551,0.278,-0.0266,-0.0621,-0.027,-0.0686,-0.0781,-0.225,0.0526,0.0507,0,1/14/20,,,,0,0
2020,1,15,23,d,-0.0338,0.058,-0.0296,0.00705,0.0296,-0.00732,0.0283,0.0229,0.00986,0.192,-0.125,-0.0553,0.0307,-0.0782,-0.0518,-0.2,0.0229,0.0228,0,1/15/20,,,,0,0
2020,1,16,23,d,-0.0457,0.101,-0.0481,-0.0168,0.0324,-0.0714,0.029,0.00844,-0.017,0.157,-0.0716,-0.0526,0.0423,-0.0815,-0.035,-0.168,0.0108,0.012,0,1/16/20,,,,0,0
2020,1,17,23,d,-0.0372,0.159,-0.0545,-0.00624,0.0875,-0.104,0.0416,0.00499,0.0359,-0.0247,0.0184,-0.0368,0.0552,-0.101,0.025,-0.164,0.019,0.0281,0,1/17/20,,,,0,0
2020,1,18,23,d,-0.0395,0.187,-0.0502,0.0129,0.0997,-0.106,0.0377,-0.0137,0.0358,0.00992,-0.0101,-0.0636,-0.0571,-0.0686,-0.159,-0.159,0.0109,0.0267,0,1/18/20,,,,0,0
2020,1,19,23,d,-0.0153,0.157,0.00063,0.146,0.0615,-0.0537,0.0332,0.0021,-0.00874,-0.0444,-0.014,-0.0147,0.0146,-0.0497,-0.0298,-0.132,0.0123,0.0186,0,1/19/20,,,,0,0
2020,1,20,23,d,0.00401,0.123,0.00606,0.154,0.0428,0.00797,0.0233,-0.0544,-0.0389,-0.132,-0.03,-0.00844,0.0323,-0.0251,0.128,-0.0952,-0.0231,-0.00444,0,1/20/20,,,,0,0
2020,1,21,23,d,0.0246,0.0879,0.0274,0.135,0.0265,-0.0532,0.0133,-0.0327,-0.0341,-0.122,0.0892,0.0458,0.0445,0.0464,-0.0746,-0.0587,-0.0131,-0.00312,0,1/21/20,,,,0,0
2020,1,22,23,d,0.0272,0.136,0.0101,0.117,0.0608,-0.069,0.016,-0.0255,0.0054,-0.14,0.108,0.0214,-0.00117,0.0709,-0.139,-0.0454,-0.00943,-0.00291,0,1/22/20,,,,0,0
2020,1,23,23,d,0.0239,0.122,0.0283,0.125,0.0533,-0.0662,0.00807,-0.0107,0.003,-0.0602,0.12,0.0365,-0.0471,0.0658,-0.219,0.0283,-0.00942,-0.0129,0,1/23/20,,,,0,0
2020,1,24,23,d,0.0421,-0.016,0.0135,0.155,0.0231,0.00138,-0.0019,-0.0353,0.0115,-0.0448,-0.0295,0.0687,-0.0243,0.12,-0.184,0.0508,-0.0154,-0.00851,0,1/24/20,,,,0,0
2020,1,25,23,d,0.0426,0.0123,0.0768,0.169,-0.0255,0.00786,-0.0127,-0.0119,-0.0508,0.0599,-0.0368,0.0798,0.0285,0.0896,-0.101,0.153,-0.0127,-0.018,0,1/25/20,,,,0,0
2020,1,26,23,d,0.00762,-0.0853,0.0186,0.121,-0.0693,-0.0699,-0.0364,-0.0263,-0.0567,-0.0449,-0.0357,0.0294,-0.0483,0.0742,-0.155,0.124,-0.0739,-0.103,0,1/26/20,,,,0,0
2020,1,27,23,d,-0.0226,-0.0773,-0.0129,-0.0164,-0.06,-0.0583,-0.0329,-0.136,-0.0893,-0.0257,-0.0475,-0.00709,-0.0436,0.0719,-0.24,0.0501,-0.0546,-0.134,0,1/27/20,,,,0,0
2020,1,28,23,d,-0.053,-0.218,-0.0162,-0.00867,-0.159,-0.0368,-0.146,-0.161,-0.115,-0.102,-0.0856,-0.00802,-0.0437,0.021,-0.286,0.0698,-0.145,-0.143,0,1/28/20,,,,0,0
2020,1,29,23,d,-0.0674,-0.236,0.0133,0.0251,-0.156,0.00159,-0.144,-0.149,-0.0959,0.0151,-0.0843,-0.0271,-0.0788,-0.0169,-0.284,0.00453,-0.128,-0.124,0,1/29/20,,,,0,0
2020,1,30,23,d,-0.0497,-0.231,0.0118,-0.143,-0.159,0.0518,-0.111,-0.11,-0.109,-0.0588,-0.126,-0.0337,0.0187,-0.0151,-0.136,-0.09,0.00333,-0.0754,0,1/30/20,,,,0,0
2020,1,31,23,d,-0.072,-0.218,0.0143,-0.156,-0.154,0.00691,-0.108,-0.0698,-0.109,-0.0902,-0.0604,-0.0805,-0.0122,-0.0254,-0.24,-0.0201,-0.0699,-0.0785,0,1/31/20,,,,0,0
2020,2,1,23,d,-0.00836,-0.0376,0.039,-0.106,-0.0133,0.0309,-0.0151,-0.0242,0.00401,0.0314,-0.0053,-0.000799,0.0755,-0.00113,-0.134,-0.0489,0.0419,0.0713,0,2/1/20,,,,0,0
2020,2,2,23,d,-0.011,-0.0296,0.0294,-0.103,-0.00399,0.141,-0.0115,0.00527,0.0141,0.065,-0.046,-0.00583,0.107,-0.0125,0.136,-0.0777,0.0612,0.1,0,2/2/20,,,,0,0
2020,2,3,23,d,0.00413,-0.0122,0.0278,-0.0375,-0.0301,0.128,-0.0031,0.0448,-0.0434,0.0684,-0.0462,0.0384,0.128,-0.00314,0.0685,-0.0136,0.0592,0.0659,0,2/3/20,,,,0,0
2020,2,4,23,d,0.0222,-0.0218,0.0262,-0.0235,-0.0146,0.17,0.0263,0.0777,-0.0043,0.189,0.277,0.054,0.183,-0.00852,0.00192,-0.0228,0.0469,0.0622,0,2/4/20,,,,0,0
2020,2,5,23,d,0.0231,0.0899,0.0141,0.116,0.0162,0.104,0.0466,0.0714,-0.0359,0.0646,-0.0466,0.0188,0.0505,0.0176,-0.065,-0.0698,0.0781,0.0798,0,2/5/20,,,,0,0
2020,2,6,23,d,0.0379,0.0708,0.0312,0.222,0.0299,0.0978,0.0597,0.129,-0.000868,0.0667,0.0797,0.0241,-0.0294,0.037,-0.28,0.00126,0.0822,0.05,0,2/6/20,,,,0,0
2020,2,7,23,d,0.0563,0.0714,0.0104,0.272,0.0215,0.0742,0.0559,0.104,-0.0153,0.024,-0.0283,0.0388,-0.0474,0.0719,-0.245,-0.0855,0.058,0.0278,0,2/7/20,,,,0,0
2020,2,8,23,d,0.0291,0.0638,-0.00382,0.353,0.0254,0.0445,0.0439,0.0765,-0.00431,-0.0917,-0.0681,-0.0156,-0.127,0.0756,-0.277,-0.0871,0.0282,-0.00182,0,2/8/20,,,,0,0
2020,2,9,23,d,0.0297,-0.00219,0.0199,0.408,-0.041,0.0555,0.0132,0.0875,-0.0703,-0.118,-0.0473,-0.0172,-0.106,0.0934,-0.333,-0.0886,0.0111,-0.0331,0,2/9/20,,,,0,0
2020,2,10,23,d,0.0196,0.0114,0.0281,0.402,-0.0248,0.103,0.0236,0.112,-0.0536,0.0152,-0.0417,-0.0471,-0.12,0.0836,-0.296,-0.153,0.0491,0.0128,0,2/10/20,,,,0,0
2020,2,11,23,d,0.0189,0.001,-0.0145,0.532,-0.0513,0.0504,0.0237,0.132,-0.0915,-0.0288,-0.188,-0.0795,-0.177,0.125,-0.422,-0.207,0.0263,-0.0328,0,2/11/20,,,,0,0
2020,2,12,23,d,0.0217,-0.035,-0.0129,0.352,-0.0521,0.104,0.0251,0.146,-0.0674,-0.092,-0.141,-0.0568,-0.134,0.113,-0.272,-0.152,0.0504,-0.00374,0,2/12/20,,,,0,0
2020,2,13,23,d,0.00284,-0.0668,-0.0395,0.299,-0.0979,0.0982,0.00257,0.0415,-0.0796,-0.126,-0.0326,-0.055,-0.0719,0.122,-0.0575,-0.193,0.0123,-0.0447,0,2/13/20,,,,0,0
2020,2,14,23,d,-0.0157,-0.115,-0.0756,0.211,-0.0789,0.0731,-0.0148,0.048,-0.0479,-0.0969,0.0214,-0.0786,0.0178,0.0759,-0.262,-0.288,0.00565,-0.0199,0,2/14/20,,,,0,0
2020,2,15,23,d,-0.0381,-0.14,-0.0892,0.329,-0.107,0.0633,-0.0401,0.00907,-0.0795,-0.036,-0.0287,-0.0852,0.0638,0.00968,-0.265,-0.316,-0.00373,-0.0119,0,2/15/20,,,,0,0
2020,2,16,23,d,-0.022,-0.115,-0.101,0.277,-0.0578,0.0353,-0.0054,0.0323,-0.00274,-0.0223,-0.00829,-0.0771,0.0546,0.0279,-0.191,-0.252,0.0132,0.000911,0,2/16/20,,,,0,0
2020,2,17,23,d,-0.0481,-0.175,-0.111,0.231,-0.0907,0.0224,-0.0393,0.0101,-0.0137,-0.03,-0.0694,-0.101,0.00831,-0.00631,-0.0769,-0.267,0.00861,-0.00312,0,2/17/20,,,,0,0
2020,2,18,23,d,-0.0434,-0.138,-0.13,0.132,-0.0525,-0.0211,-0.0183,0.00338,0.0217,-0.169,0.0896,-0.101,0.0561,-0.000904,-0.202,-0.292,-0.00862,-0.00714,0,2/18/20,,,,0,0
2020,2,19,23,d,-0.0424,-0.123,-0.138,0.206,-0.078,-0.0437,-0.00757,-0.0495,-0.0405,-0.163,0.0672,-0.0846,0.085,-0.000734,-0.203,-0.24,-0.0414,-0.0366,0,2/19/20,,,,0,0
2020,2,20,23,d,-0.0136,-0.0725,-0.117,0.284,-0.0303,-0.0126,-0.00829,-0.0211,0.00813,-0.053,0.0844,-0.0551,0.143,0.0218,-0.192,-0.206,-0.00512,-0.0152,0,2/20/20,,,,0,0
